,ATL,ORD,PEK,LHR,CDG,FRA,LAX,DFW,JFK,AMS
ATL,0.0,976.3278291656196,inf,6760.763839225035,7055.726461394289,7409.649808022337,3125.7765263601914,1174.5318236036762,1222.0934389187266,7065.789554888426
ORD,976.3278291656196,0.0,10562.432484186444,6343.750642563714,6664.207933200134,6971.064337579611,2802.1160076904807,1290.645304960658,1187.8355870120465,6611.863040774068
PEK,inf,10562.432484186444,0.0,8153.295965289263,8188.745706047514,7787.377515707087,10037.12892966769,inf,10978.339946699254,7827.099974197516
LHR,6760.763839225035,6343.750642563714,8153.295965289263,0.0,347.1675081044459,654.7595966719059,8759.655640360264,7627.239393385965,5539.644065388658,370.44882883109955
CDG,7055.726461394289,6664.207933200134,8188.745706047514,347.1675081044459,0.0,449.00284704500876,9102.505751277082,7944.056768972219,5833.649776425998,398.26978308829587
FRA,7409.649808022337,6971.064337579611,7787.377515707087,654.7595966719059,449.00284704500876,0.0,9321.985337887725,8258.17612367846,6189.437697980094,366.57324838925166
LAX,3125.7765263601914,2802.1160076904807,10037.12892966769,8759.655640360264,9102.505751277082,9321.985337887725,0.0,1983.1744750180908,3974.196710879195,8955.950701058966
DFW,1174.5318236036762,1290.645304960658,inf,7627.239393385965,7944.056768972219,8258.17612367846,1983.1744750180908,0.0,2234.896132049454,7900.1050379532035
JFK,1222.0934389187266,1187.8355870120465,10978.339946699254,5539.644065388658,5833.649776425998,6189.437697980094,3974.196710879195,2234.896132049454,0.0,5847.522914962934
AMS,7065.789554888426,6611.863040774068,7827.099974197516,370.44882883109955,398.26978308829587,366.57324838925166,8955.950701058966,7900.1050379532035,5847.522914962934,0.0
